patch,p{J,81,batch,b{J,91
pang,p{N,85,bhang,b{N,0
pride,pr2d,704,bride,br2d,217
palette,p{l@t,17,ballot,b{l@t,10
pad,p{d,155,bad,b{d,5924
pack,p{k,688,back,b{k,17657
Pan,p{n,73,ban,b{n,362
pat,p{t,6,bat,b{t,113
pedal,pidP,8,beadle,bidP,5
pushy,pUSI,10,bushy,bUSI,61
pounce,p6ns,83,bounce,b6ns,289
play,pl1,7245,blae,bl1,0
pound,p6nd,160,bound,b6nd,840
posh,pQS,50,bosh,bQS,3
pod,pQd,0,bod,bQd,8
pock,pQk,2,bock,bQk,38
pom,pQm,8,bomb,bQm,225
pop,pQp,377,bop,bQp,12
poss.,pQs,2,boss,bQs,0
poise,p4z,9,boys,b4z,52
plight,pl2t,0,blight,bl2t,33
pair up,p8rVp,0,bear up,b8rVp,0
poodle,pudP,20,boodle,budP,0
puffer,pVf@R,0,buffer,bVf@R,8
pleach,pliJ,11,bleach,bliJ,75
plotter,plQt@R,13,blotter,blQt@R,21
purser,p3s@R,15,bursar,b3s@R,6
polar,p5l@R,78,bowler,b5l@R,48
pone,p5n,0,bone,b5n,3
parr,p#R,34,bar,b#R,24
paring,p8rIN,1,bearing,b8rIN,131
pt,p#t,18,Bart.,b#t,100
park,p#k,442,bark,b#k,5
pard,p#d,14,barred,b#d,23
poll,p5l,45,bowl,b5l,229
preach,priJ,232,breech,briJ,37
pour,p$R,1413,bore,b$R,568
porn,p$n,40,bourn,b$n,17
pawl,p$l,0,bawl,b$l,75
pork,p$k,150,balk,b$k,34
pest,pEst,164,best,bEst,3
putter,pVt@R,1,butter,bVt@R,47
pullet,pUlIt,6,bullet,bUlIt,426
pally,p{lI,8,bally,b{lI,0
pleat,plit,24,bleat,blit,35
postern,pQst@n,0,Boston,bQst@n,455
plead,plid,338,bleed,blid,432
pout,p6t,57,bout,b6t,155
pity,pItI,53,bitty,bItI,8
palais,p{l1,44,ballet,b{l1,286
peri,p7rI,3,beery,b7rI,8
pearly,p3lI,33,burly,b3lI,49
pother,pQD@R,1,bother,bQD@R,1047
plume,plum,3,bloom,blum,64
prey,pr1,59,bray,br1,17
perry,pErI,116,bury,bErI,898
praise,pr1z,302,braze,br1z,4
pier,p7R,143,bier,b7R,12
prior,pr2@R,310,briar,br2@R,17
packer,p{k@R,16,backer,b{k@R,30
post,p5st,144,boast,b5st,211
poster,p5st@R,299,boaster,b5st@R,4
pond,pQnd,339,bond,bQnd,37
P.S.,piEs,54,B.S.,biEs,2
putsch,pUJ,10,butch,bUJ,7
push,pUS,2235,bush,bUS,1001
pull,pUl,3330,Bull,bUl,74
pear,p8R,112,bear,b8R,1917
pailful,p1lfUl,1,baleful,b1lfUl,27
pony,p5nI,256,bony,b5nI,145
pillion,pIlj@n,5,billion,bIlj@n,704
prick,prIk,86,brick,brIk,764
power,p6@R,65,bower,b6@R,45
prink,prINk,5,brink,brINk,108
prick up,prIkVp,0,brick up,brIkVp,0
prim,prIm,4,brim,brIm,49
prig,prIg,20,brig,brIg,3
pile,p2l,371,bile,b2l,33
powwow,p6w6,0,bowwow,b6w6,2
patter,p{t@R,38,batter,b{t@R,313
pus,pVs,38,bus,bVs,21
pattern,p{t@n,93,baton,b{t@n,91
puff,pVf,159,buff,bVf,19
pun,pVn,5,bun,bVn,117
plunderer,plVnd@r@R,2,blunderer,blVnd@r@R,2
peril,pEr@l,106,beryl,bEr@l,8
putt,pVt,83,butt,bVt,44
pulley,pUlI,26,bully,bUlI,2
Puck,pVk,11,buck,bVk,59
plunder,plVnd@R,39,blunder,blVnd@R,67
pet,pEt,46,bet,bEt,447
prawn,pr$n,0,brawn,br$n,10
pen,pEn,47,ben,bEn,699
peck,pEk,99,beck,bEk,5
peg,pEg,51,beg,bEg,546
prude,prud,11,brood,brud,5
polling,p5lIN,40,bowling,b5lIN,114
pushiness,pUSInIs,1,bushiness,bUSInIs,0
pushed,pUSt,22,bushed,bUSt,5
polony,p@l5nI,0,boloney,b@l5nI,10
palmy,p#mI,3,barmy,b#mI,15
pillow,pIl5,6,billow,bIl5,72
posse,pQsI,12,bossy,bQsI,35
pollster,p5lst@R,4,bolster,b5lst@R,50
pair off,p8rQf,0,bear off,b8rQf,0
pandit,p{ndIt,3,bandit,b{ndIt,48
plush,plVS,17,blush,blVS,194
plank,pl{Nk,0,blank,bl{Nk,278
parley,p#lI,1,barley,b#lI,174
pinnacle,pIn@kP,5,binnacle,bIn@kP,2
paste,p1st,33,baste,b1st,36
parer,p8r@R,0,bearer,b8r@R,92
pour on,p$rQn,0,boron,b$rQn,10
path,p#T,1095,Bath,b#T,133
pathos,p1TQs,38,bathos,b1TQs,2
pelt,pElt,39,belt,bElt,27
P.C.,pisi,0,BC,bisi,202
palm,p#m,9,barm,b#m,0
pee,pi,43,bee,bi,298
pressed,prEst,14,breast,brEst,8
pie,p2,305,bye,b2,197
pay,p1,6268,bey,b1,4
po,p5,11,bow,b5,15
pah,p#,5,Bar,b#,0
pack up,p{kVp,0,backup,b{kVp,73
Punch,pVnJ,11,bunch,bVnJ,59
punk,pVNk,35,bunk,bVNk,5
pug,pVg,0,bug,bVg,112
pare down,p8d6n,0,bear down,b8d6n,0
patty,p{tI,62,batty,b{tI,13
patten,p{tH,26,batten,b{tH,21
plot,plQt,147,blot,blQt,98
packing,p{kIN,86,backing,b{kIN,116
pitch,pIJ,186,bitch,bIJ,21
painfully,p1nfUlI,207,banefully,b1nfUlI,0
pill,pIl,507,bill,bIl,47
pin,pIn,271,bin,bIn,116
pig,pIg,780,big,bIg,142
picker,pIk@R,17,bicker,bIk@R,23
pit,pIt,57,bit,bIt,4742
pool,pul,94,buhl,bul,1
pump,pVmp,312,bump,bVmp,0
pleading,plidIN,21,bleeding,blidIN,0
pale,p1l,1062,bale,b1l,57
pane,p1n,77,bane,b1n,17
pace,p1s,12,bass,b1s,66
pate,p1t,11,bate,b1t,42
prow,pr6,20,brow,br6,248
prat,pr{t,2,brat,br{t,38
porridge,pQrI_,95,borage,bQrI_,4
pudgy,pV_I,15,budgie,bV_I,2
painful,p1nfUl,516,baneful,b1nfUl,7
popper,pQp@R,26,bopper,bQp@R,0
pious,p2@s,101,bias,b2@s,88
pyre,p2@R,22,byre,b2@R,10
pied,p2d,14,bide,b2d,13
pine,p2n,24,bine,b2n,2
pike,p2k,0,bike,b2k,8
pox,pQks,27,box,bQks,9
perk,p3k,2,burke,b3k,88
perch,p3J,186,birch,b3J,1
purr,p3R,59,burr,b3R,1
peter,pit@R,29,beater,bit@R,19
pique,pik,10,beak,bik,120
peep,pip,64,beep,bip,15
peat,pit,66,beet,bit,58
peach,piJ,0,beech,biJ,203
pumpkin,pVmpkIn,38,bumpkin,bVmpkIn,4
